"","X","Y","ci","lon","lat"
"6120",288.127281117,-249.899752565,1,-80.0706062119896,42.7998096679036
"6121",289.227281117,-249.899752565,1,-80.0571488906127,42.7993795257873
"6464",287.027281117,-250.999752565,1,-80.0846464577595,42.7903627181727
"8614",375.027281117,-257.599752565,1,-79.013452691449,42.6917038300692
"11789",72.527281117,-268.599752565,145,-82.7135594509405,42.6844623811425
"11902",196.827281117,-268.599752565,1,-81.1949515371141,42.6618316068041
"11903",197.927281117,-268.599752565,1,-81.1815184669831,42.6615381495346
"11904",199.027281117,-268.599752565,1,-81.1680855291541,42.6612430581796
"11905",200.127281117,-268.599752565,1,-81.1546527243597,42.6609463327622
"11908",203.427281117,-268.599752565,1,-81.11435511551,42.6600463523665
"11909",204.527281117,-268.599752565,1,-81.1009228501796,42.6597430909311
"11910",205.627281117,-268.599752565,1,-81.0874907215465,42.6594381955497
"11917",213.327281117,-268.599752565,1,-80.9934697101515,42.6572581793981
"11918",214.427281117,-268.599752565,1,-80.9800387014583,42.6569402133121
"11919",215.527281117,-268.599752565,1,-80.9666078360521,42.6566206134978
"11920",216.627281117,-268.599752565,1,-80.9531771146649,42.65629937998
"11963",263.927281117,-268.599752565,1,-80.3758027157059,42.6409412278648
"11964",265.027281117,-268.599752565,1,-80.3623790550552,42.64054813787
"11965",266.127281117,-268.599752565,1,-80.3489555713099,42.6401534154185
"11966",267.227281117,-268.599752565,1,-80.3355322651995,42.639757060541
"11967",268.327281117,-268.599752565,1,-80.3221091374537,42.6393590732682
"12132",70.327281117,-269.699752565,156,-82.7405884086427,42.674789707273
"12134",72.527281117,-269.699752565,145,-82.7137061275445,42.6745772697038
"12135",73.627281117,-269.699752565,1,-82.700265059423,42.6744685974975
"12136",74.727281117,-269.699752565,1,-82.6868240405675,42.6743582896882
"12137",75.827281117,-269.699752565,1,-82.6733830717136,42.6742463462843
"12239",188.027281117,-269.699752565,1,-81.3028007739959,42.6542385110437
"12242",191.327281117,-269.699752565,1,-81.2625055058618,42.6533925894362
"12243",192.427281117,-269.699752565,1,-81.2490740045237,42.6531073476077
"12244",193.527281117,-269.699752565,1,-81.2356426317599,42.6528204718365
"12245",194.627281117,-269.699752565,1,-81.2222113883028,42.6525319621446
"12246",195.727281117,-269.699752565,1,-81.208780274885,42.6522418185547
"12247",196.827281117,-269.699752565,1,-81.1953492922388,42.6519500410891
"12248",197.927281117,-269.699752565,1,-81.1819184410967,42.6516566297705
"12249",199.027281117,-269.699752565,1,-81.1684877221909,42.6513615846217
"12250",200.127281117,-269.699752565,1,-81.1550571362538,42.6510649056656
"12251",201.227281117,-269.699752565,1,-81.1416266840176,42.6507665929253
"12252",202.327281117,-269.699752565,1,-81.1281963662145,42.6504666464239
"12253",203.427281117,-269.699752565,1,-81.1147661835766,42.6501650661847
"12254",204.527281117,-269.699752565,1,-81.1013361368361,42.649861852231
"12255",205.627281117,-269.699752565,1,-81.0879062267251,42.6495570045865
"12256",206.727281117,-269.699752565,1,-81.0744764539755,42.6492505232748
"12257",207.827281117,-269.699752565,1,-81.0610468193194,42.6489424083197
"12258",208.927281117,-269.699752565,1,-81.0476173234887,42.648632659745
"12259",210.027281117,-269.699752565,1,-81.0341879672153,42.6483212775749
"12260",211.127281117,-269.699752565,1,-81.020758751231,42.6480082618335
"12261",212.227281117,-269.699752565,1,-81.0073296762676,42.6476936125451
"12262",213.327281117,-269.699752565,1,-80.9939007430569,42.6473773297341
"12263",214.427281117,-269.699752565,1,-80.9804719523306,42.6470594134251
"12264",215.527281117,-269.699752565,1,-80.9670433048203,42.6467398636427
"12265",216.627281117,-269.699752565,1,-80.9536148012576,42.6464186804117
"12266",217.727281117,-269.699752565,1,-80.9401864423742,42.6460958637571
"12267",218.827281117,-269.699752565,1,-80.9267582289015,42.6457714137039
"12268",219.927281117,-269.699752565,1,-80.913330161571,42.6454453302772
"12269",221.027281117,-269.699752565,1,-80.8999022411141,42.6451176135024
